id,nama,kategori
1,Abon,Makanan dan Minuman
2,Abon haruwan,Makanan dan Minuman
3,Agar-agar,Makanan dan Minuman
4,Akar tonjong segar,Makanan dan Minuman
5,Aletoge segar,Makanan dan Minuman
6,Alpukat segar,Makanan dan Minuman
7,Ampas kacang hijau,Makanan dan Minuman
8,Ampas Tahu,Makanan dan Minuman
9,Ampas tahu kukus,Makanan dan Minuman
10,Ampas tahu mentah,Makanan dan Minuman
11,Anak sapi daging gemuk segar,Makanan dan Minuman
12,Anak sapi daging kurus segar,Makanan dan Minuman
13,Anak sapi daging sedang segar,Makanan dan Minuman
14,Andaliman segar,Makanan dan Minuman
15,Andewi,Makanan dan Minuman
16,Anggur hutan segar,Makanan dan Minuman
17,Angsa,Makanan dan Minuman
18,Anyang sayur,Makanan dan Minuman
19,Apel,Makanan dan Minuman
20,Apel malang segar,Makanan dan Minuman
21,Arbei,Makanan dan Minuman
22,Ares sayur,Makanan dan Minuman
23,Arrowroot segar,Makanan dan Minuman
24,Arwan sirsir,Makanan dan Minuman
25,Asam kandis segar,Makanan dan Minuman
26,Asam masak di pohon,Makanan dan Minuman
27,Asam payak segar,Makanan dan Minuman
28,Asan kandis kering,Makanan dan Minuman
29,Asinan Bogor sayuran,Makanan dan Minuman
30,Ayam,Makanan dan Minuman
31,Ayam  goreng Kentuckysayap,Makanan dan Minuman
32,Ayam ampela goreng,Makanan dan Minuman
33,Ayam dideh/darah segar,Makanan dan Minuman
34,Ayam goreng church texa sayap,Makanan dan Minuman
35,Ayam goreng church texas dada,Makanan dan Minuman
36,Ayam goreng kalasan paha,Makanan dan Minuman
37,Ayam goreng kentucky dada,Makanan dan Minuman
38,Ayam goreng Kentucky paha,Makanan dan Minuman
39,Ayam goreng mbok berek dada,Makanan dan Minuman
40,Ayam goreng paha,Makanan dan Minuman
41,Ayam goreng pasundan dada,Makanan dan Minuman
42,Ayam goreng pasundan paha,Makanan dan Minuman
43,Ayam goreng pioneer dada,Makanan dan Minuman
44,Ayam goreng sukabumi dada,Makanan dan Minuman
45,Ayam goreng sukabumi paha,Makanan dan Minuman
46,Ayam hati segar,Makanan dan Minuman
47,Ayam taliwang masakan,Makanan dan Minuman
48,Ayam usus goreng,Makanan dan Minuman
49,Babat,Makanan dan Minuman
50,Babi daging gemuk segar,Makanan dan Minuman
51,Babi daging kurus segar,Makanan dan Minuman
52,Babi ginjal segar,Makanan dan Minuman
53,Babi hati segar,Makanan dan Minuman
54,Babi hutan masak rica masakan,Makanan dan Minuman
55,Bacang,Makanan dan Minuman
56,Bagea kelapa asin,Makanan dan Minuman
57,Bagea kelapa manis,Makanan dan Minuman
58,Bagea kenari asin,Makanan dan Minuman
59,Bagea kenari manis,Makanan dan Minuman
60,Bagea kw 1,Makanan dan Minuman
61,Bagea kw 2,Makanan dan Minuman
62,Baje,Makanan dan Minuman
63,Bakpia kue,Makanan dan Minuman
64,Bakso ,Makanan dan Minuman
65,Bakung segar,Makanan dan Minuman
66,Bakwan,Makanan dan Minuman
67,Baligo,Makanan dan Minuman
68,Bantal,Makanan dan Minuman
69,Barongko,Makanan dan Minuman
70,Batang Tading,Makanan dan Minuman
71,Batar daan,Makanan dan Minuman
72,Batatas gembili segar,Makanan dan Minuman
73,Batatas kelapa ubi bakar,Makanan dan Minuman
74,Batatas kelapa ubi kukus,Makanan dan Minuman
75,Batatas kelapa ubi segar,Makanan dan Minuman
76,Batatas tali ubi rebus,Makanan dan Minuman
77,Bawang Bombay,Makanan dan Minuman
78,Bawang Merah,Makanan dan Minuman
79,Bawang Putih,Makanan dan Minuman
80,Bayam kukus,Makanan dan Minuman
81,Bayam Merah,Makanan dan Minuman
82,Bayam merah segar,Makanan dan Minuman
83,Bayam rebus,Makanan dan Minuman
84,Bayam segar,Makanan dan Minuman
85,Bayam tumis + oncom,Makanan dan Minuman
86,Bayam tumis bersantan,Makanan dan Minuman
87,Bebek (itik),Makanan dan Minuman
88,Bebek alabio daging segar,Makanan dan Minuman
89,Bebek daging goreng,Makanan dan Minuman
90,Beberuk,Makanan dan Minuman
91,Beef burger,Makanan dan Minuman
92,Beef teriyaki masakan,Makanan dan Minuman
93,Beef yakiniku masakan,Makanan dan Minuman
94,Bekasam,Makanan dan Minuman
95,Bekasang,Makanan dan Minuman
96,Belibis daging segar,Makanan dan Minuman
97,Belimbing,Makanan dan Minuman
98,Belitung talas kukus,Makanan dan Minuman
99,Belut goreng,Makanan dan Minuman
100,Belut segar,Makanan dan Minuman
101,Belutlaut segar,Makanan dan Minuman
102,Bengkuang,Makanan dan Minuman
103,Bentul (Komba)  talas segar,Makanan dan Minuman
104,Bentul talas kukus,Makanan dan Minuman
105,Beras Cerdas,Makanan dan Minuman
106,Beras ganyong,Makanan dan Minuman
107,Beras Giling,Makanan dan Minuman
108,Beras Giling masak (nasi) ,Makanan dan Minuman
109,Beras giling mentah,Makanan dan Minuman
110,Beras giling var pelita mentah,Makanan dan Minuman
111,Beras giling var rojolele mentah,Makanan dan Minuman
112,Beras hitam mentah,Makanan dan Minuman
113,Beras jagung kuning kering mentah,Makanan dan Minuman
114,Beras jagung putih kering mentah,Makanan dan Minuman
115,Beras Ketan Hitam,Makanan dan Minuman
116,Beras Ketan Hitam kukus,Makanan dan Minuman
117,Beras Ketan Hitam tape,Makanan dan Minuman
118,Beras Ketan Hitam tumbuk,Makanan dan Minuman
119,Beras ketan hitam tumbuk mentah,Makanan dan Minuman
120,Beras Ketan Putih,Makanan dan Minuman
121,Beras Ketan Putih kukus,Makanan dan Minuman
122,Beras Ketan Putih tape,Makanan dan Minuman
123,Beras Ketan Putih tumbuk,Makanan dan Minuman
124,Beras ketan putih tumbuk mentah,Makanan dan Minuman
125,Beras ladang mentah,Makanan dan Minuman
126,Beras Menir,Makanan dan Minuman
127,Beras menir mentah,Makanan dan Minuman
128,Beras Merah tumbuk,Makanan dan Minuman
129,Beras Parboiled,Makanan dan Minuman
130,Beras parboiled,Makanan dan Minuman
131,Beras Pecah Kulit,Makanan dan Minuman
132,Beras Setengah Giling,Makanan dan Minuman
133,Beras Siger,Makanan dan Minuman
134,Beras tumbuk mentah,Makanan dan Minuman
135,Beras tumbuk merah mentah,Makanan dan Minuman
136,Betok wadi masakan,Makanan dan Minuman
137,Bihun,Makanan dan Minuman
138,Bihun Goreng ,Makanan dan Minuman
139,Bihun goreng instan,Makanan dan Minuman
140,Bihun Jagung mentah,Makanan dan Minuman
141,Bihun mentah,Makanan dan Minuman
142,Biji Jambu Mete,Makanan dan Minuman
143,Biji Jambu Mete goreng,Makanan dan Minuman
144,Biji nangka/Biji salak,Makanan dan Minuman
145,Bika ambon,Makanan dan Minuman
146,Bika Ambon ,Makanan dan Minuman
147,Bir (4% alkohol),Makanan dan Minuman
148,Biskuit,Makanan dan Minuman
149,Bit,Makanan dan Minuman
150,Biwah segar,Makanan dan Minuman
151,Bonggol Pisang,Makanan dan Minuman
152,Bonggol Pisang kering,Makanan dan Minuman
153,Bongkrek (tempe bungkil),Makanan dan Minuman
154,Boros Kunci,Makanan dan Minuman
155,Boros Laja (lengkuas),Makanan dan Minuman
156,Botok lamtoro,Makanan dan Minuman
157,Brem,Makanan dan Minuman
158,Brondong ,Makanan dan Minuman
159,Brongkos,Makanan dan Minuman
160,Buah Atung,Makanan dan Minuman
161,Buah kelenting segar,Makanan dan Minuman
162,Buah kelor,Makanan dan Minuman
163,Buah kom segar,Makanan dan Minuman
164,Buah Mentega (bisbul),Makanan dan Minuman
165,Buah merah,Makanan dan Minuman
166,Buah Naga Merah segar,Makanan dan Minuman
167,Buah Naga Putih segar,Makanan dan Minuman
168,Buah negri segar,Makanan dan Minuman
169,Buah Nona,Makanan dan Minuman
170,Buah rotan segar,Makanan dan Minuman
171,Buah rukam segar,Makanan dan Minuman
172,Buah ruruhi segar,Makanan dan Minuman
173,Buah tuppa segar,Makanan dan Minuman
174,Buaya daging dendeng mentah,Makanan dan Minuman
175,Bubur ,Makanan dan Minuman
176,Bubur sagu,Makanan dan Minuman
177,Bubur tinotuan (Manado),Makanan dan Minuman
178,Bulgogi masakan,Makanan dan Minuman
179,Bulung Jajan,Makanan dan Minuman
180,Bulung Sangu,Makanan dan Minuman
181,Buncis,Makanan dan Minuman
182,Buncis asam,Makanan dan Minuman
183,Buncis rebus,Makanan dan Minuman
184,Bunga pepaya segar,Makanan dan Minuman
185,Bunga turi segar,Makanan dan Minuman
186,Bungkil Biji Karet,Makanan dan Minuman
187,Bungkil Kacang Tanah,Makanan dan Minuman
188,Bungkil Kelapa,Makanan dan Minuman
189,Buntil ,Makanan dan Minuman
190,Buntil daun talas,Makanan dan Minuman
191,Buras ,Makanan dan Minuman
192,Burung sarang segar,Makanan dan Minuman
193,Cabai gembor merah segar,Makanan dan Minuman
194,Cabai hijau segar,Makanan dan Minuman
195,Cabai merah kering,Makanan dan Minuman
196,Cabai merah segar,Makanan dan Minuman
197,Cabai rawit segar,Makanan dan Minuman
198,Caisin segar,Makanan dan Minuman
199,Cakalang asar (asap papua),Makanan dan Minuman
200,Cake tape,Makanan dan Minuman
201,Cammetutu,Makanan dan Minuman
202,Cantel mentah,Makanan dan Minuman
203,Cap cai sayur,Makanan dan Minuman
204,Carica papaya segar,Makanan dan Minuman
205,Cassavastick,Makanan dan Minuman
206,Cempedak,Makanan dan Minuman
207,Cengkeh kering,Makanan dan Minuman
208,Centel,Makanan dan Minuman
209,Ceriping getuk singkong,Makanan dan Minuman
210,Chicken teriyaki masakan,Makanan dan Minuman
211,Chikiniku masakan,Makanan dan Minuman
212,Coklat bubuk,Makanan dan Minuman
213,Coklat Manis batang,Makanan dan Minuman
214,Coklat Pahit batang,Makanan dan Minuman
215,Coklat Susu batang,Makanan dan Minuman
216,Combro ,Makanan dan Minuman
217,Corned Beef,Makanan dan Minuman
218,Coto mangkasara kuda masakan,Makanan dan Minuman
219,Coto mangkasara sapi masakan,Makanan dan Minuman
220,Cue Selar Kuning,Makanan dan Minuman
221,Cuka,Makanan dan Minuman
222,Cumi-cumi goreng,Makanan dan Minuman
223,Cumi-cumi segar,Makanan dan Minuman
224,Daging Anak Sapi,Makanan dan Minuman
225,Daging Asap,Makanan dan Minuman
226,Daging Babi Gemuk,Makanan dan Minuman
227,Daging Babi Kurus,Makanan dan Minuman
228,Daging Domba,Makanan dan Minuman
229,Daging Kambing,Makanan dan Minuman
230,Daging Kerbau,Makanan dan Minuman
231,Daging Kuda,Makanan dan Minuman
232,Daging Sapi,Makanan dan Minuman
233,Daun bangun-bangun segar,Makanan dan Minuman
234,Daun Bawang,Makanan dan Minuman
235,Daun bawang  merah segar,Makanan dan Minuman
236,Daun bebuas segar,Makanan dan Minuman
237,Daun belem segar,Makanan dan Minuman
238,Daun Beluntas,Makanan dan Minuman
239,Daun Cincau,Makanan dan Minuman
240,Daun Gandaria,Makanan dan Minuman
241,Daun gedi besar segar,Makanan dan Minuman
242,Daun gelang segar,Makanan dan Minuman
243,Daun gunda bali segar,Makanan dan Minuman
244,Daun gunda serang segar,Makanan dan Minuman
245,Daun Jambu Mete muda,Makanan dan Minuman
246,Daun jampang segar,Makanan dan Minuman
247,Daun jawaw seluang segar,Makanan dan Minuman
248,Daun jonghe segar,Makanan dan Minuman
249,Daun kacang ma segar,Makanan dan Minuman
250,Daun Kacang Panjang,Makanan dan Minuman
251,Daun Kacang Panjang kukus,Makanan dan Minuman
252,Daun kacang panjang segar,Makanan dan Minuman
253,Daun kasbi/singkong karet segar,Makanan dan Minuman
254,Daun Katuk,Makanan dan Minuman
255,Daun katuk rebus,Makanan dan Minuman
256,Daun katuk segar,Makanan dan Minuman
257,Daun Kecipir,Makanan dan Minuman
258,Daun Kedondong,Makanan dan Minuman
259,Daun Kelor,Makanan dan Minuman
260,Daun Kelor rebus,Makanan dan Minuman
261,Daun Kemangi,Makanan dan Minuman
262,Daun kenikir segar,Makanan dan Minuman
263,Daun kesum segar,Makanan dan Minuman
264,Daun kol sawi segar,Makanan dan Minuman
265,Daun Koro,Makanan dan Minuman
266,Daun kubis segar,Makanan dan Minuman
267,Daun Kumak,Makanan dan Minuman
268,Daun Labu Siam,Makanan dan Minuman
269,Daun Labu Waluh,Makanan dan Minuman
270,Daun lamtoro segar,Makanan dan Minuman
271,Daun leilem segar,Makanan dan Minuman
272,Daun Leunca,Makanan dan Minuman
273,Daun Lobak,Makanan dan Minuman
274,Daun Lompong Tales,Makanan dan Minuman
275,Daun Mangkokan,Makanan dan Minuman
276,Daun matel ambon segar,Makanan dan Minuman
277,Daun Melinjo,Makanan dan Minuman
278,Daun Mengkudu Kukus,Makanan dan Minuman
279,Daun ndusuk segar,Makanan dan Minuman
280,Daun Oyong,Makanan dan Minuman
281,Daun oyong segar,Makanan dan Minuman
282,Daun Pakis,Makanan dan Minuman
283,Daun pakis longgiho segar,Makanan dan Minuman
284,Daun pakis segar,Makanan dan Minuman
285,Daun pakis wambateu segar,Makanan dan Minuman
286,Daun paku segar,Makanan dan Minuman
287,Daun pangisegar,Makanan dan Minuman
288,Daun pare segar,Makanan dan Minuman
289,Daun pepaya segar,Makanan dan Minuman
290,Daun Pete Cina,Makanan dan Minuman
291,Daun Poh-pohan,Makanan dan Minuman
292,Daun salam  bubuk,Makanan dan Minuman
293,Daun selasih segar,Makanan dan Minuman
294,Daun Semanggi,Makanan dan Minuman
295,Daun semanggi segar,Makanan dan Minuman
296,Daun simpur segar,Makanan dan Minuman
297,Daun singkil segar,Makanan dan Minuman
298,Daun Singkong,Makanan dan Minuman
299,Daun singkong ambon segar,Makanan dan Minuman
300,Daun singkong ampenan segar,Makanan dan Minuman
301,Daun singkong kopang segar,Makanan dan Minuman
302,Daun Singkong lodeh,Makanan dan Minuman
303,Daun Singkong rebus,Makanan dan Minuman
304,Daun singkong segar,Makanan dan Minuman
305,Daun Sintrong,Makanan dan Minuman
306,Daun talas rebus,Makanan dan Minuman
307,Daun talas segar,Makanan dan Minuman
308,Daun Tales,Makanan dan Minuman
309,Daun Tales rebus,Makanan dan Minuman
310,Daun tespong segar,Makanan dan Minuman
311,Daun Ubi Jalar,Makanan dan Minuman
312,Daun Ubi Jalar kukus,Makanan dan Minuman
313,Daun ubi kuning segar,Makanan dan Minuman
314,Daun ubi merah kukus,Makanan dan Minuman
315,Daun ubi merah segar,Makanan dan Minuman
316,Daun ubi putih segar,Makanan dan Minuman
317,Daun ubi tinta segar,Makanan dan Minuman
318,Deblo ,Makanan dan Minuman
319,Dendeng belut goreng,Makanan dan Minuman
320,Dendeng Daging Sapi,Makanan dan Minuman
321,Dendeng mujahir goreng,Makanan dan Minuman
322,Dideh darah ayam,Makanan dan Minuman
323,Dideh darah sapi,Makanan dan Minuman
324,Djibokum masakan,Makanan dan Minuman
325,Dodol,Makanan dan Minuman
326,Dodol bali,Makanan dan Minuman
327,Dodol banjarmasin,Makanan dan Minuman
328,Dodol galamai,Makanan dan Minuman
329,Dodol kedondong,Makanan dan Minuman
330,Dodol manado,Makanan dan Minuman
331,Dodonkol ,Makanan dan Minuman
332,Domba daging gemuk segar,Makanan dan Minuman
333,Domba daging kurus  segar,Makanan dan Minuman
334,Domba ginjal segar,Makanan dan Minuman
335,Duku,Makanan dan Minuman
336,Durian,Makanan dan Minuman
337,Duwet segar,Makanan dan Minuman
338,Eceng Gondok,Makanan dan Minuman
339,Embacang,Makanan dan Minuman
340,Empal (daging) Goreng masakan,Makanan dan Minuman
341,Empal Goreng,Makanan dan Minuman
342,Emping (kerupuk melinjo),Makanan dan Minuman
343,Emping beras,Makanan dan Minuman
344,Emping komak,Makanan dan Minuman
345,Encung asam segar,Makanan dan Minuman
346,Enting-enting gepuk hello kity,Makanan dan Minuman
347,Enting-enting gepuk kacang tanah,Makanan dan Minuman
348,Enting-enting wijen,Makanan dan Minuman
349,Erbis,Makanan dan Minuman
350,Es krim,Makanan dan Minuman
351,Es Krim (Coconut milk) ,Makanan dan Minuman
352,Es Mambo ,Makanan dan Minuman
353,Es Sirup ,Makanan dan Minuman
354,Fillet o-fish,Makanan dan Minuman
355,Gadeng/Gadung kering,Makanan dan Minuman
356,Gado-gado,Makanan dan Minuman
357,Gadung kukus,Makanan dan Minuman
358,Gadung mentah,Makanan dan Minuman
359,Gadung ubi kukus,Makanan dan Minuman
360,Gadung ubi segar,Makanan dan Minuman
361,Gambas (Oyong),Makanan dan Minuman
362,Gambas lodeh,Makanan dan Minuman
363,Gandaria,Makanan dan Minuman
364,Ganyong kukus,Makanan dan Minuman
365,Ganyong mentah,Makanan dan Minuman
366,Ganyong rebus,Makanan dan Minuman
367,Ganyong segar,Makanan dan Minuman
368,Gaplek,Makanan dan Minuman
369,Gatep segar,Makanan dan Minuman
370,Gatot,Makanan dan Minuman
371,Geblek,Makanan dan Minuman
372,Gelatine,Makanan dan Minuman
373,Gembili,Makanan dan Minuman
374,Gembili ubi segar,Makanan dan Minuman
375,Gemblong,Makanan dan Minuman
376,Gendar goreng,Makanan dan Minuman
377,Genjer segar,Makanan dan Minuman
378,Geplak,Makanan dan Minuman
379,Geplak jahe,Makanan dan Minuman
380,Gete kuah asam masakan,Makanan dan Minuman
381,Getuk goreng,Makanan dan Minuman
382,Getuk Lindri ,Makanan dan Minuman
383,Getuk pisang,Makanan dan Minuman
384,Getuk singkong,Makanan dan Minuman
385,Ginjal Babi,Makanan dan Minuman
386,Ginjal Domba,Makanan dan Minuman
387,Ginjal Sapi,Makanan dan Minuman
388,Gudeg ,Makanan dan Minuman
389,Gudeg sayur,Makanan dan Minuman
390,Gula Aren,Makanan dan Minuman
391,Gula Kelapa,Makanan dan Minuman
392,Gula Merah Tebu belum dimurnikan,Makanan dan Minuman
393,Gula putih,Makanan dan Minuman
394,Gulai asam keueung masakan,Makanan dan Minuman
395,Gulai ikan masakan,Makanan dan Minuman
396,Gulai ikan paya masakan,Makanan dan Minuman
397,Gulai kambing,Makanan dan Minuman
398,Gulai keumamah masakan,Makanan dan Minuman
399,Gulai pakis,Makanan dan Minuman
400,Gulai pliek,Makanan dan Minuman
401,Gulai tiram masakan,Makanan dan Minuman
402,Gurame asem manis masakan,Makanan dan Minuman
403,Gurandil,Makanan dan Minuman
404,Ham,Makanan dan Minuman
405,Hangop,Makanan dan Minuman
406,Hati Babi,Makanan dan Minuman
407,Hati Sapi,Makanan dan Minuman
408,Havermout,Makanan dan Minuman
409,Hofa/Ubi hutan segar,Makanan dan Minuman
410,Ikan asar merah masakan,Makanan dan Minuman
411,Ikan Asin bilis goreng,Makanan dan Minuman
412,Ikan Asin gabus goreng,Makanan dan Minuman
413,Ikan Asin japuh goreng,Makanan dan Minuman
414,Ikan Asin kering,Makanan dan Minuman
415,Ikan Asin pari goreng,Makanan dan Minuman
416,Ikan Asin pepetek goreng,Makanan dan Minuman
417,Ikan Asin sirinding goreng,Makanan dan Minuman
418,Ikan Asin teri goreng,Makanan dan Minuman
419,Ikan Bader (Tawes),Makanan dan Minuman
420,Ikan balong segar,Makanan dan Minuman
421,Ikan bambangan segar,Makanan dan Minuman
422,Ikan Bandeng,Makanan dan Minuman
423,Ikan bandeng presto masakan,Makanan dan Minuman
424,Ikan banjar segar,Makanan dan Minuman
425,Ikan baronang segar,Makanan dan Minuman
426,Ikan baung bakar,Makanan dan Minuman
427,Ikan baung segar,Makanan dan Minuman
428,Ikan Bawal,Makanan dan Minuman
429,Ikan Bekasang,Makanan dan Minuman
430,Ikan Belida bakar,Makanan dan Minuman
431,Ikan Belida segar,Makanan dan Minuman
432,Ikan Belut Segar goreng,Makanan dan Minuman
433,Ikan Belut Segar mentah,Makanan dan Minuman
434,Ikan Beunteur,Makanan dan Minuman
435,Ikan biawan segar,Makanan dan Minuman
436,Ikan bili segar,Makanan dan Minuman
437,Ikan bubara segar,Makanan dan Minuman
438,Ikan bulan-bulan segar,Makanan dan Minuman
439,Ikan cakalang asap mentah,Makanan dan Minuman
440,Ikan cakalang asin mentah,Makanan dan Minuman
441,Ikan cakalang hati segar,Makanan dan Minuman
442,Ikan cakalang jantung segar,Makanan dan Minuman
443,Ikan cakalang perut segar,Makanan dan Minuman
444,Ikan cakalang segar,Makanan dan Minuman
445,Ikan calo/ peda mentah,Makanan dan Minuman
446,Ikan daun segar,Makanan dan Minuman
447,Ikan Ekor Kuning,Makanan dan Minuman
448,Ikan Gabus asap mentah,Makanan dan Minuman
449,Ikan Gabus kering,Makanan dan Minuman
450,Ikan Gabus segar,Makanan dan Minuman
451,Ikan gete goreng,Makanan dan Minuman
452,Ikan hitam segar,Makanan dan Minuman
453,Ikan hiu kering,Makanan dan Minuman
454,Ikan hiu segar,Makanan dan Minuman
455,Ikan kacangan segar,Makanan dan Minuman
456,Ikan kakap segar,Makanan dan Minuman
457,Ikan kakatua segar,Makanan dan Minuman
458,Ikan kapar segar,Makanan dan Minuman
459,Ikan katombo asin,Makanan dan Minuman
460,Ikan kawalinya segar,Makanan dan Minuman
461,Ikan kayu kering,Makanan dan Minuman
462,Ikan Kembung,Makanan dan Minuman
463,Ikan kima segar,Makanan dan Minuman
464,Ikan Lais bakar,Makanan dan Minuman
465,Ikan Layang,Makanan dan Minuman
466,Ikan layur segar,Makanan dan Minuman
467,Ikan lehoma segar,Makanan dan Minuman
468,Ikan Lele goreng,Makanan dan Minuman
469,Ikan Lemuru,Makanan dan Minuman
470,Ikan lidah segar,Makanan dan Minuman
471,Ikan lomak asin mentah,Makanan dan Minuman
472,Ikan malalugis segar,Makanan dan Minuman
473,Ikan Mas,Makanan dan Minuman
474,Ikan Mas goreng,Makanan dan Minuman
475,Ikan Mas pepes,Makanan dan Minuman
476,Ikan mayong segar,Makanan dan Minuman
477,Ikan Mujair dendeng goreng,Makanan dan Minuman
478,Ikan Mujair dendeng mentah,Makanan dan Minuman
479,Ikan Mujair goreng,Makanan dan Minuman
480,Ikan Mujair pepes,Makanan dan Minuman
481,Ikan Mujair segar,Makanan dan Minuman
482,Ikan nasu metti segar,Makanan dan Minuman
